WKT,fid,DN
"POLYGON ((3287105.82949912 -318841.062910685,3287105.82949912 -319105.661303142,3287370.42789158 -319105.661303142,3287370.42789158 -318841.062910685,3287105.82949912 -318841.062910685))","2875","1"
"POLYGON ((3303775.52822391 -318841.062910685,3303775.52822391 -319105.661303142,3304040.12661637 -319105.661303142,3304040.12661637 -318841.062910685,3303775.52822391 -318841.062910685))","2876","1"
"POLYGON ((3317005.44784676 -318841.062910685,3317005.44784676 -319105.661303142,3317270.04623922 -319105.661303142,3317270.04623922 -318841.062910685,3317005.44784676 -318841.062910685))","2877","1"
"POLYGON ((3287370.42789158 -319105.661303142,3287370.42789158 -319370.259695599,3287635.02628403 -319370.259695599,3287635.02628403 -319105.661303142,3287370.42789158 -319105.661303142))","2878","1"
"POLYGON ((3293456.19091809 -319105.661303142,3293456.19091809 -319370.259695599,3293720.78931055 -319370.259695599,3293720.78931055 -319105.661303142,3293456.19091809 -319105.661303142))","2879","1"
"POLYGON ((3303246.331439 -319105.661303142,3303246.331439 -319370.259695599,3303775.52822391 -319370.259695599,3303775.52822391 -319105.661303142,3303246.331439 -319105.661303142))","2880","1"
"POLYGON ((3304304.72500883 -319105.661303142,3304304.72500883 -319370.259695599,3304569.32340128 -319370.259695599,3304569.32340128 -319105.661303142,3304304.72500883 -319105.661303142))","2881","1"
"POLYGON ((3314888.66070711 -315136.685416287,3315153.25909956 -315136.685416287,3315153.25909956 -315401.283808744,3315417.85749202 -315401.283808744,3315417.85749202 -315665.882201201,3315947.05427693 -315665.882201201,3315947.05427693 -315930.480593658,3315417.85749202 -315930.480593658,3315417.85749202 -316195.078986115,3315682.45588448 -316195.078986115,3315682.45588448 -316988.874163486,3315947.05427693 -316988.874163486,3315947.05427693 -317253.472555943,3316476.25106185 -317253.472555943,3316476.25106185 -317518.0709484,3316211.65266939 -317518.0709484,3316211.65266939 -317782.669340857,3315947.05427693 -317782.669340857,3315947.05427693 -318047.267733314,3316476.25106185 -318047.267733314,3316476.25106185 -318576.464518228,3315947.05427693 -318576.464518228,3315947.05427693 -318311.866125771,3315417.85749202 -318311.866125771,3315417.85749202 -318576.464518228,3315153.25909956 -318576.464518228,3315153.25909956 -318311.866125771,3314359.46392219 -318311.866125771,3314359.46392219 -318047.267733314,3314094.86552974 -318047.267733314,3314094.86552974 -318311.866125771,3313565.66874482 -318311.866125771,3313565.66874482 -318576.464518228,3313036.47195991 -318576.464518228,3313036.47195991 -318311.866125771,3312507.27517499 -318311.866125771,3312507.27517499 -318047.267733314,3311448.88160517 -318047.267733314,3311448.88160517 -318311.866125771,3311184.28321271 -318311.866125771,3311184.28321271 -318841.062910685,3310919.68482025 -318841.062910685,3310919.68482025 -319105.661303142,3310655.08642779 -319105.661303142,3310655.08642779 -319370.259695599,3309861.29125042 -319370.259695599,3309861.29125042 -319105.661303142,3310125.88964288 -319105.661303142,3310125.88964288 -318311.866125771,3309861.29125042 -318311.866125771,3309861.29125042 -318047.267733314,3310125.88964288 -318047.267733314,3310125.88964288 -316988.874163486,3310390.48803534 -316988.874163486,3310390.48803534 -316724.275771029,3310655.08642779 -316724.275771029,3310655.08642779 -316459.677378572,3310919.68482025 -316459.677378572,3310919.68482025 -316195.078986115,3311184.28321271 -316195.078986115,3311184.28321271 -315930.480593658,3311448.88160517 -315930.480593658,3311448.88160517 -316724.275771029,3311713.47999762 -316724.275771029,3311713.47999762 -316988.874163486,3311448.88160517 -316988.874163486,3311448.88160517 -317253.472555943,3311978.07839008 -317253.472555943,3311978.07839008 -317518.0709484,3312242.67678254 -317518.0709484,3312242.67678254 -317782.669340857,3312507.27517499 -317782.669340857,3312507.27517499 -317518.0709484,3313036.47195991 -317518.0709484,3313036.47195991 -317782.669340857,3313830.26713728 -317782.669340857,3313830.26713728 -317518.0709484,3314094.86552974 -317518.0709484,3314094.86552974 -317253.472555943,3314359.46392219 -317253.472555943,3314359.46392219 -317782.669340857,3314888.66070711 -317782.669340857,3314888.66070711 -317253.472555943,3315153.25909956 -317253.472555943,3315153.25909956 -316988.874163486,3314888.66070711 -316988.874163486,3314888.66070711 -316724.275771029,3314624.06231465 -316724.275771029,3314624.06231465 -316195.078986115,3314888.66070711 -316195.078986115,3314888.66070711 -315136.685416287),(3314888.66070711 -317782.669340857,3314888.66070711 -318047.267733314,3315153.25909956 -318047.267733314,3315153.25909956 -317782.669340857,3314888.66070711 -317782.669340857))","2882","1"
"POLYGON ((3293191.59252563 -319370.259695599,3293191.59252563 -319634.858088056,3293456.19091809 -319634.858088056,3293456.19091809 -319370.259695599,3293191.59252563 -319370.259695599))","2883","1"
"POLYGON ((3286312.03432175 -319899.456480513,3286312.03432175 -320164.05487297,3286576.63271421 -320164.05487297,3286576.63271421 -319899.456480513,3286312.03432175 -319899.456480513))","2884","1"
"POLYGON ((3307215.30732585 -319899.456480513,3307215.30732585 -320164.05487297,3307479.90571831 -320164.05487297,3307479.90571831 -319899.456480513,3307215.30732585 -319899.456480513))","2885","1"
"POLYGON ((3286841.23110666 -319899.456480513,3287370.42789158 -319899.456480513,3287370.42789158 -320164.05487297,3287105.82949912 -320164.05487297,3287105.82949912 -320428.653265427,3286841.23110666 -320428.653265427,3286841.23110666 -320957.850050341,3286576.63271421 -320957.850050341,3286576.63271421 -320164.05487297,3286841.23110666 -320164.05487297,3286841.23110666 -319899.456480513))","2886","1"
"POLYGON ((3299541.9539446 -320164.05487297,3299541.9539446 -320428.653265427,3299806.55233706 -320428.653265427,3299806.55233706 -320164.05487297,3299541.9539446 -320164.05487297))","2887","1"
"POLYGON ((3300864.94590688 -320693.251657884,3300864.94590688 -320957.850050341,3301394.1426918 -320957.850050341,3301394.1426918 -320693.251657884,3300864.94590688 -320693.251657884))","2888","1"
"POLYGON ((3302717.13465408 -320693.251657884,3302717.13465408 -320957.850050341,3303246.331439 -320957.850050341,3303246.331439 -321222.448442798,3303510.92983145 -321222.448442798,3303510.92983145 -320693.251657884,3302717.13465408 -320693.251657884))","2889","1"
"POLYGON ((3305892.31536357 -320957.850050341,3305892.31536357 -321222.448442798,3306156.91375603 -321222.448442798,3306156.91375603 -320957.850050341,3305892.31536357 -320957.850050341))","2890","1"
"POLYGON ((3308273.70089568 -320164.05487297,3309596.69285797 -320164.05487297,3309596.69285797 -320428.653265427,3309861.29125042 -320428.653265427,3309861.29125042 -320164.05487297,3310125.88964288 -320164.05487297,3310125.88964288 -320957.850050341,3309861.29125042 -320957.850050341,3309861.29125042 -320693.251657884,3309067.49607305 -320693.251657884,3309067.49607305 -320428.653265427,3308802.8976806 -320428.653265427,3308802.8976806 -320693.251657884,3308538.29928814 -320693.251657884,3308538.29928814 -320957.850050341,3308273.70089568 -320957.850050341,3308273.70089568 -321487.046835255,3307744.50411077 -321487.046835255,3307744.50411077 -321222.448442798,3307479.90571831 -321222.448442798,3307479.90571831 -321487.046835255,3307215.30732585 -321487.046835255,3307215.30732585 -321222.448442798,3306950.7089334 -321222.448442798,3306950.7089334 -320957.850050341,3307215.30732585 -320957.850050341,3307215.30732585 -320428.653265427,3308009.10250322 -320428.653265427,3308009.10250322 -320693.251657884,3308273.70089568 -320693.251657884,3308273.70089568 -320164.05487297))","2891","1"
"POLYGON ((3301129.54429934 -322280.842012626,3301129.54429934 -322545.440405083,3301923.33947671 -322545.440405083,3301923.33947671 -322280.842012626,3301129.54429934 -322280.842012626))","2892","1"
"POLYGON ((3302187.93786917 -322280.842012626,3302187.93786917 -322545.440405083,3302717.13465408 -322545.440405083,3302717.13465408 -322280.842012626,3302187.93786917 -322280.842012626))","2893","1"
"POLYGON ((3292662.39574072 -322810.03879754,3293191.59252563 -322810.03879754,3293191.59252563 -323074.637189997,3292926.99413317 -323074.637189997,3292926.99413317 -323339.235582454,3292397.79734826 -323339.235582454,3292397.79734826 -323074.637189997,3292662.39574072 -323074.637189997,3292662.39574072 -322810.03879754))","2894","1"
