WKT,fid,DN
"POLYGON ((3369660.5279457 -120921.465352849,3369660.5279457 -121186.063745306,3369925.12633816 -121186.063745306,3369925.12633816 -120921.465352849,3369660.5279457 -120921.465352849))","58","1"
"POLYGON ((3373629.50383256 -120921.465352849,3373629.50383256 -121450.662137763,3373894.10222502 -121450.662137763,3373894.10222502 -120921.465352849,3373629.50383256 -120921.465352849))","59","1"
"POLYGON ((3376275.48775713 -120921.465352849,3376275.48775713 -121186.063745306,3376540.08614959 -121186.063745306,3376540.08614959 -120921.465352849,3376275.48775713 -120921.465352849))","60","1"
"POLYGON ((3406439.70449723 -120921.465352849,3406439.70449723 -121186.063745306,3406968.90128214 -121186.063745306,3406968.90128214 -120921.465352849,3406439.70449723 -120921.465352849))","61","1"
"POLYGON ((3374952.49579484 -121186.063745306,3374952.49579484 -121450.662137763,3376010.88936467 -121450.662137763,3376010.88936467 -121186.063745306,3374952.49579484 -121186.063745306))","62","1"
"POLYGON ((3395855.76879895 -121450.662137763,3395855.76879895 -121715.26053022,3396120.36719141 -121715.26053022,3396120.36719141 -121450.662137763,3395855.76879895 -121450.662137763))","63","1"
"POLYGON ((3372571.11026273 -121715.26053022,3372571.11026273 -121979.858922677,3372835.70865519 -121979.858922677,3372835.70865519 -121715.26053022,3372571.11026273 -121715.26053022))","64","1"
"POLYGON ((3373100.30704765 -121715.26053022,3373100.30704765 -121979.858922677,3373364.9054401 -121979.858922677,3373364.9054401 -121715.26053022,3373100.30704765 -121715.26053022))","65","1"
"POLYGON ((3374158.70061747 -121450.662137763,3374158.70061747 -122509.055707591,3375217.0941873 -122509.055707591,3375217.0941873 -122244.457315134,3375481.69257976 -122244.457315134,3375481.69257976 -121979.858922677,3374423.29900993 -121979.858922677,3374423.29900993 -121450.662137763,3374158.70061747 -121450.662137763))","66","1"
"POLYGON ((3397707.95754615 -121979.858922677,3397707.95754615 -122244.457315134,3397972.5559386 -122244.457315134,3397972.5559386 -121979.858922677,3397707.95754615 -121979.858922677))","67","1"
"POLYGON ((3373364.9054401 -122244.457315134,3373364.9054401 -122773.654100048,3373894.10222502 -122773.654100048,3373894.10222502 -122244.457315134,3373364.9054401 -122244.457315134))","68","1"
"POLYGON ((3397972.5559386 -122244.457315134,3397972.5559386 -122509.055707591,3398237.15433106 -122509.055707591,3398237.15433106 -122244.457315134,3397972.5559386 -122244.457315134))","69","1"
"POLYGON ((3401941.53182546 -119598.473390564,3402735.32700283 -119598.473390564,3402735.32700283 -119863.071783021,3402470.72861037 -119863.071783021,3402470.72861037 -120127.670175478,3402735.32700283 -120127.670175478,3402735.32700283 -120656.866960392,3402999.92539529 -120656.866960392,3402999.92539529 -120921.465352849,3402735.32700283 -120921.465352849,3402735.32700283 -121450.662137763,3402470.72861037 -121450.662137763,3402470.72861037 -121979.858922677,3402206.13021792 -121979.858922677,3402206.13021792 -122244.457315134,3401147.73664809 -122244.457315134,3401147.73664809 -122509.055707591,3400618.53986317 -122509.055707591,3400618.53986317 -122244.457315134,3400353.94147072 -122244.457315134,3400353.94147072 -122509.055707591,3399824.7446858 -122509.055707591,3399824.7446858 -122244.457315134,3400089.34307826 -122244.457315134,3400089.34307826 -121979.858922677,3399824.7446858 -121979.858922677,3399824.7446858 -121715.26053022,3400883.13825563 -121715.26053022,3400883.13825563 -121450.662137763,3401147.73664809 -121450.662137763,3401147.73664809 -121186.063745306,3401412.33504055 -121186.063745306,3401412.33504055 -121450.662137763,3401676.933433 -121450.662137763,3401676.933433 -121715.26053022,3401941.53182546 -121715.26053022,3401941.53182546 -121186.063745306,3402470.72861037 -121186.063745306,3402470.72861037 -120392.268567935,3402206.13021792 -120392.268567935,3402206.13021792 -120127.670175478,3401941.53182546 -120127.670175478,3401941.53182546 -119598.473390564))","70","1"
"POLYGON ((3370983.51990799 -122509.055707591,3370983.51990799 -123038.252492505,3371248.11830045 -123038.252492505,3371248.11830045 -122509.055707591,3370983.51990799 -122509.055707591))","71","1"
"POLYGON ((3374158.70061747 -123302.850884962,3374158.70061747 -123567.449277419,3374423.29900993 -123567.449277419,3374423.29900993 -123302.850884962,3374158.70061747 -123302.850884962))","72","1"
