fid,radio_type,lon,lat
291,GSM,30.735626,-1.535339
292,GSM,30.60585022,-1.420669556
293,GSM,30.732468,-1.872482
294,GSM,30.742569,-1.826859
295,GSM,30.72120667,-1.545639038
296,GSM,30.72669983,-1.541519165
297,GSM,30.693298,-1.529099
298,GSM,30.675476,-1.517487
299,GSM,30.680008,-1.524353
300,GSM,30.668884,-1.511444
301,GSM,30.667648,-1.505814
302,GSM,30.737838,-1.726151
303,GSM,30.596605,-1.571458
304,GSM,30.63331604,-1.556625366
305,GSM,30.623977,-1.579057
306,GSM,30.634101,-1.569181
307,GSM,30.599774,-1.633925
308,GSM,30.631489,-1.688575
309,GSM,30.579754,-1.476702
310,GSM,30.647049,-1.61087
311,GSM,30.654833,-1.778641
312,GSM,30.665132,-1.909104
313,GSM,30.576663,-1.490366
314,GSM,30.64704895,-1.612930298
315,GSM,30.617529,-1.860124
316,GSM,29.105879,-2.559294
317,UMTS,29.104156,-2.447205
318,GSM,29.19548,-2.47982
319,UMTS,29.197246,-2.47261
320,GSM,29.194303,-2.479085
321,UMTS,29.11885,-2.45311
322,UMTS,29.093857,-2.45018
323,GSM,29.17488098,-2.482223511
324,UMTS,29.19960022,-2.478103638
325,UMTS,29.19548,-2.471237
326,UMTS,29.09248352,-2.458877563
327,GSM,29.141917,-2.439655
328,GSM,29.19548,-2.473526
329,GSM,29.18312073,-2.484970093
330,GSM,29.200516,-2.478104
331,UMTS,30.11171,-1.960435
332,GSM,30.111069,-1.961089
333,GSM,30.114555,-1.96312
334,UMTS,30.325895,-1.297858
335,UMTS,30.099792,-1.985321
336,GSM,30.556169,-2.088304
337,GSM,30.554352,-2.099075
338,GSM,30.55366516,-2.100448608
339,GSM,30.545425,-2.157852
340,GSM,30.54954529,-2.145767212
341,UMTS,30.4259491,-1.861495972
342,GSM,30.074387,-1.937027
343,UMTS,30.13618469,-1.965866089
344,GSM,30.135269,-1.964493
345,GSM,30.33943176,-1.364364624
346,UMTS,29.25453186,-1.693954468
347,GSM,29.241143,-1.707688
348,UMTS,29.254532,-1.694641
349,UMTS,29.257431,-1.699753
350,GSM,29.253159,-1.684341
351,UMTS,29.254924,-1.697093
352,UMTS,29.260025,-1.702652
353,GSM,29.259338,-1.702194
354,UMTS,29.23851,-1.666946
355,UMTS,29.24217224,-1.658248901
356,UMTS,30.078129,-1.950324
357,UMTS,30.081253,-1.975113
358,UMTS,30.08123,-1.974469
359,UMTS,30.087552,-1.971029
360,UMTS,28.887405,-2.49733
361,GSM,30.077401,-2.086105
362,UMTS,30.064452,-2.139901
363,UMTS,30.071943,-1.957854
364,GSM,30.090106,-2.060974
365,GSM,30.087918,-2.055776
366,UMTS,30.082965,-2.096518
367,GSM,30.104842,-2.044144
368,UMTS,30.08177,-2.152812
369,UMTS,30.096286,-1.967076
370,UMTS,30.096359,-1.991501
371,GSM,30.090664,-2.061249
372,UMTS,30.101278,-2.03683
373,UMTS,30.103226,-1.984504
374,GSM,30.091553,-2.054874
375,GSM,30.091901,-2.049975
376,GSM,30.092873,-2.067102
377,GSM,30.100871,-2.090443
378,GSM,30.095261,-2.085068
379,GSM,30.083141,-1.952477
380,GSM,30.080566,-1.961975
381,UMTS,30.10388,-2.010269
382,UMTS,30.097046,-2.008438
383,UMTS,30.101166,-1.987464
384,GSM,30.091762,-2.052354
385,UMTS,30.075324,-2.098514
386,GSM,30.075331,-2.091694
387,UMTS,30.100594,-2.018738
388,GSM,30.08297,-1.966553
389,UMTS,30.095261,-1.996994
390,UMTS,30.101509,-1.979599
391,UMTS,30.082169,-1.966324
392,UMTS,30.104263,-1.978897
393,GSM,30.080298,-1.963717
394,UMTS,30.097831,-1.970844
395,UMTS,30.076546,-2.054738
396,UMTS,30.074926,-1.95225
397,GSM,30.041428,-2.198868
398,GSM,30.028625,-2.174828
399,UMTS,30.071732,-2.158676
400,GSM,30.049818,-2.155533
401,GSM,30.035848,-2.192288
402,GSM,30.053885,-2.19702
403,UMTS,30.090591,-2.147484
404,GSM,30.035525,-2.195907
405,UMTS,30.087845,-2.142746
